25-06-11 13:02:17.018 : Model path: model_zoo/ffdnet_gray.pth
25-06-11 13:02:17.018 : model_name:ffdnet_gray, model sigma:15, image sigma:15
25-06-11 13:02:17.018 : testsets/bsd68
25-06-11 13:05:46.904 : Model path: model_zoo/ffdnet_gray.pth
25-06-11 13:05:46.904 : model_name:ffdnet_gray, model sigma:15, image sigma:15
25-06-11 13:05:46.904 : testsets/bsd68
25-06-11 13:05:49.283 : frame_0031.png - PSNR: 36.34 dB; SSIM: 0.9152.
25-06-11 13:05:51.737 : frame_0032.png - PSNR: 36.00 dB; SSIM: 0.9146.
25-06-11 13:05:55.483 : frame_0033.png - PSNR: 35.94 dB; SSIM: 0.9148.
25-06-11 13:05:58.921 : frame_0034.png - PSNR: 35.90 dB; SSIM: 0.9145.
25-06-11 13:06:01.755 : frame_0035.png - PSNR: 35.88 dB; SSIM: 0.9139.
25-06-11 13:06:04.521 : frame_0036.png - PSNR: 35.78 dB; SSIM: 0.9127.
25-06-11 13:06:07.353 : frame_0037.png - PSNR: 35.72 dB; SSIM: 0.9145.
25-06-11 13:06:09.930 : frame_0038.png - PSNR: 35.71 dB; SSIM: 0.9151.
25-06-11 13:06:12.905 : frame_0039.png - PSNR: 35.69 dB; SSIM: 0.9147.
25-06-11 13:06:15.648 : frame_0040.png - PSNR: 35.63 dB; SSIM: 0.9151.
25-06-11 13:06:18.317 : frame_0041.png - PSNR: 35.60 dB; SSIM: 0.9149.
25-06-11 13:06:21.133 : frame_0042.png - PSNR: 35.59 dB; SSIM: 0.9151.
25-06-11 13:06:24.080 : frame_0043.png - PSNR: 35.60 dB; SSIM: 0.9152.
25-06-11 13:06:27.099 : frame_0044.png - PSNR: 35.61 dB; SSIM: 0.9146.
25-06-11 13:06:29.552 : frame_0045.png - PSNR: 35.61 dB; SSIM: 0.9151.
25-06-11 13:06:32.974 : frame_0046.png - PSNR: 35.61 dB; SSIM: 0.9144.
25-06-11 13:06:35.767 : frame_0047.png - PSNR: 35.59 dB; SSIM: 0.9141.
25-06-11 13:06:38.577 : frame_0048.png - PSNR: 35.51 dB; SSIM: 0.9134.
25-06-11 13:06:41.100 : frame_0049.png - PSNR: 35.57 dB; SSIM: 0.9151.
25-06-11 13:06:44.104 : frame_0050.png - PSNR: 35.55 dB; SSIM: 0.9145.
25-06-11 13:06:46.699 : frame_0051.png - PSNR: 35.57 dB; SSIM: 0.9153.
25-06-11 13:06:50.225 : frame_0052.png - PSNR: 35.55 dB; SSIM: 0.9147.
